mobile phone name,classification,total reviews,positive reviews,negative reviews
oppo reno 4 lite,1,11,10,2
oppo reno 4 pro,1,3,3,1
oukitel c18 pro,1,1,1,1
oukitel c19,1,1,1,1
oukitel c21,1,11,9,3
oukitel k13 pro,1,1,1,1
oukitel wp5,1,6,5,2
panasonic kx-tu110exc,1,5,5,1
panasonic kx-tu110exv,1,5,5,1
panasonic kx-tu110,1,5,5,1
panasonic kx-tu150exb,1,38,32,7
panasonic kx-tu150exc,1,38,32,7
panasonic kx-tu150exr,1,38,32,7
panasonic kx-tu456exce,1,2,2,1
panasonic kx-tu456exwe,1,1,1,1
panasonic kx-tu466exwe,0,1,0,1
realme 5i,1,8,6,3
realme 6i,1,2,2,1
realme 6i 6,1,1,1,1
realme 6s,1,18,16,3
realme 6,1,8,7,2
realme 6 pro,1,3,3,1
realme 7,1,2,2,1
realme 7 pro,1,15,13,3
realme c3,1,6,6,1
realme x3,1,2,2,1
realme x50,1,2,1,2
realme x50 pro,1,1,1,1
ruggear rg100,1,2,2,1
ruggear rg150,0,1,1,1
ruggear rg310,1,1,0,1
samgle captain,0,1,1,1
samgle zoey 3g,0,5,5,1
"samsung, galaxy s10 5g",1,7,6,2
samsung galaxy a01,1,10,9,2
samsung galaxy a01 core,1,7,4,3
samsung galaxy a10s,1,18,17,2
samsung galaxy a10,1,638,567,72
samsung galaxy a11 (a115fd),1,10,8,3
samsung galaxy a20e,1,1009,862,148
samsung galaxy a20s,1,88,74,14
samsung galaxy a20,1,18,16,3
samsung galaxy a21s,1,133,112,22
samsung galaxy a2 core,1,26,22,5
samsung galaxy a30s,1,523,462,62
samsung galaxy a30,1,1,1,1
samsung galaxy a31 (a315fd),1,3,3,1
samsung galaxy a31,1,27,23,5
samsung galaxy a40,1,543,445,99
samsung galaxy a41,1,118,94,25
samsung galaxy a50s (2019),1,21,14,8
samsung galaxy a50,1,942,775,168
samsung galaxy a51(a515fd),1,33,29,5
samsung galaxy a51,1,474,401,74
samsung galaxy a51 ultra,1,2,2,1
samsung galaxy a6 (2018),1,4,4,1
samsung galaxy a6,1,210,189,22
samsung galaxy a6 plus (2018),1,1,1,1
samsung galaxy a6 plus infinity (2018),1,3,3,1
samsung galaxy a70s,0,1,0,1
samsung galaxy a71,1,529,422,108
samsung galaxy a80,1,50,39,11
samsung galaxy a8 (2018),1,310,259,52
samsung galaxy a8 star (2018),1,6,5,2
samsung galaxy a90,1,6,5,2
samsung galaxy a9 (2018),1,66,55,12
samsung galaxy fold (f900f),1,2,2,1
samsung galaxy j1 mini prime,1,20,18,3
samsung galaxy j4 core,1,1,1,1
samsung galaxy j4 plus (2018),1,218,187,31
samsung galaxy j5 (2017),1,7,4,4
samsung galaxy j5 prime,1,22,18,5
samsung galaxy m11,1,30,22,9
samsung galaxy m20,1,197,166,32
samsung galaxy m21,1,308,280,29
samsung galaxy m315,0,1,0,1
samsung galaxy m31s,1,17,16,2
samsung galaxy m31,1,25,21,5
samsung galaxy m51,1,16,13,4
samsung galaxy note 10,1,54,45,10
samsung galaxy note 10 lite,1,96,86,11
samsung galaxy note 10 plus,1,327,275,53
samsung galaxy note 20,1,13,12,2
samsung galaxy note 20 ultra,1,72,57,15
samsung galaxy note 8,1,5,4,2
samsung galaxy note 9,1,306,245,62
samsung galaxy s10+,1,683,548,136
samsung galaxy s10e,1,347,289,58
samsung galaxy s10,1,407,333,75
samsung galaxy s10 lite,1,133,121,13
samsung galaxy s20,1,97,74,23
samsung galaxy s20 fe,1,52,39,14
samsung galaxy s20 plus,1,148,115,33
samsung galaxy s20 plus bts edition,1,4,3,2
samsung galaxy s20 ultra,1,97,78,20
samsung galaxy s6,1,414,356,59
samsung galaxy s8,1,681,571,111
samsung galaxy s9,1,255,220,36
samsung galaxy s9 plus,1,460,360,101
samsung galaxy xcover 4s,1,1,0,1
samsung galaxy xcover pro,1,3,2,2
samsung galaxy z flip,1,16,13,4
samsung galaxy z fold2,1,9,8,2
sol apollo m1900,1,1,1,1
sol erato b1802,1,3,2,2
sony xperia 10 ii,1,1,1,1
sony xperia 1,1,33,29,5
sony xperia 1 ii,1,9,8,2
sony xperia 5,1,29,23,7
sony xperia 5 ii,1,10,6,4
sony xperia e5,1,12,10,3
sony xperia l4,1,12,12,1
sony xperia xa,1,37,28,10
sony xperia xa ultra,1,1,1,1
sony xperia xz2,1,29,26,4
sony xperia xz,1,46,35,12
sony xperia x,1,19,16,4
sony xperia x performance,1,4,4,1
sony xz1,1,4,3,2
sony x performance,1,10,6,4
stk life 7,0,1,0,1
stk storm 4,1,2,2,1
tcl plex,1,5,5,1
telefon militar f8,1,12,6,6
ulefone armor 3wt,1,1,1,1
ulefone armor 3w,1,1,0,1
ulefone armor x3,1,15,13,3
ulefone armor x5,1,13,12,1
ulefone armor x6,1,6,3,3
ulefone armor x7,1,4,3,2
ulefone armor x7 pro,1,7,7,1
ulefone note 7p,1,25,22,4
ulefone note 8p,1,51,34,18
ulefone note 8,1,30,20,11
ulefone note 9p,1,1,1,1
ulefone power 6,1,6,4,3
ulefone s11,1,189,140,50
ulefone s1,1,124,97,28
ulefone x,1,31,25,7
vonino jax n,1,15,13,3
vonino zun n,1,9,4,6
xiaomi black shark,1,6,5,2
xiaomi mi 10t,1,21,20,2
xiaomi mi 10t lite,1,29,20,10
xiaomi mi 10t pro,1,48,34,15
xiaomi mi 10,1,53,46,8
xiaomi mi 10 lite,1,23,23,1
xiaomi mi 10 pro,1,4,4,1
xiaomi mi 8 lite,1,18,16,3
xiaomi mi 9t,1,219,194,26
xiaomi mi 9t pro,1,1,1,1
xiaomi mi mix 2s,1,8,8,1
xiaomi mi note 10,1,70,63,7
xiaomi mi note 10 lite,1,131,117,15
xiaomi mi note 10 pro,1,10,9,2
xiaomi poco f2 pro,1,18,16,3
xiaomi poco m3,1,30,29,2
xiaomi poco x3 nfc,1,115,92,24
xiaomi redmi 7,1,57,49,8
xiaomi redmi 8,1,346,300,47
xiaomi redmi 9a,1,87,71,17
xiaomi redmi 9c,1,79,72,8
xiaomi redmi 9c nfc,1,80,72,9
xiaomi redmi 9,1,234,196,39
xiaomi redmi go,1,7,6,2
xiaomi redmi k20 pro,1,10,7,4
xiaomi redmi k30,1,3,1,2
xiaomi redmi note 6 pro,1,28,22,7
xiaomi redmi note 8t,1,121,102,20
xiaomi redmi note 8,1,1,1,1
xiaomi redmi note 8 pro,1,776,676,100
xiaomi redmi note 9s (2020),1,30,28,3
xiaomi redmi note 9s (2020,1,30,28,3
xiaomi redmi note 9s,1,14,13,2
xiaomi redmi note 9,1,148,131,17
xiaomi redmi note 9 pro,1,346,286,61
zte blade v8 mini,1,21,19,3
